Id,GRND_ELEV,WellDepth,Location,Elev_1m,Latitude,Longitude,PumpGMP,x_utm,y_utm
163,70,0,PAGO PAGO,20.000189,-14.27419,-170.70697,164,531607,8421929
105,79.76,275,PAGO,28.850363,-14.277783,-170.705284,100,531788,8421532
107,85.48,280.3,PAGO,25.134058,-14.27862,-170.70548,380,531767,8421439
165,110,291,PAGO PAGO,31.171793,-14.279785,-170.706484,202,531658,8421310
99,191.62,345,AUA,57.481476,-14.26776,-170.6607,295,536599,8422634
97,81.97,243,AUA,24.145931,-14.2687,-170.66118,153,536547,8422530
101,142.52,188,FAGATOGA,44.28064,-14.280194,-170.693779,465,533029,8421263
170,0,0,VATIA,32.253086,-14.25455,-170.66925,12,535678,8424096
180,0,0,VATIA,50.453915,-14.25476,-170.66857,17,535752,8424073
179,0,0, ,23.092318,-14.29104,-170.68895,18,533548,8420063
183,88.21,0,VAIPITO,80.217247,-14.282711,-170.710093,190,531269,8420987
